n,a_n_upper_bound,ceil_n_minus_1_over_3,prop16_lower_bound,attains_target,family,md_size,cleanup_ops_g,sum_b_i,two_g,provenance,witness_json
4,1,1,1,True,transpose,3,1,2,2,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,1],[2,2],[3,0]],""down"":3,""down_edges"":[[0,1],[1,2]],""up"":4,""up_edges"":[[0,1],[1,2],[2,3]]}"
5,2,2,1,True,padded,4,1,2,2,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,3],[1,0],[2,1],[3,2],[4,0]],""down"":4,""down_edges"":[[0,1],[1,2],[2,3]],""up"":5,""up_edges"":[[0,1],[1,2],[2,3],[3,4]]}"
6,2,2,1,True,trimmed,5,2,3,4,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,1],[3,4],[4,2],[5,0]],""down"":5,""down_edges"":[[0,1],[1,2],[2,3],[3,4]],""up"":6,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5]]}"
7,2,2,2,True,transpose,6,2,4,4,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,1],[3,4],[4,2],[5,5],[6,0]],""down"":6,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5]],""up"":7,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6]]}"
8,3,3,2,True,padded,7,2,4,4,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,6],[1,0],[2,3],[3,1],[4,4],[5,2],[6,5],[7,0]],""down"":7,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6]],""up"":8,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}"
9,3,3,2,True,trimmed,8,3,5,6,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,1],[4,4],[5,7],[6,2],[7,5],[8,0]],""down"":8,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]],""up"":9,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}"
10,3,3,2,True,transpose,9,3,6,6,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,1],[4,4],[5,7],[6,2],[7,5],[8,8],[9,0]],""down"":9,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]],""up"":10,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9]]}"
11,4,4,2,True,padded,10,3,6,6,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,9],[1,0],[2,3],[3,6],[4,1],[5,4],[6,7],[7,2],[8,5],[9,8],[10,0]],""down"":10,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9]],""up"":11,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10]]}"
12,4,4,3,True,trimmed,11,4,7,8,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,1],[5,4],[6,7],[7,10],[8,2],[9,5],[10,8],[11,0]],""down"":11,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10]],""up"":12,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11]]}"
13,4,4,3,True,transpose,12,4,8,8,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,1],[5,4],[6,7],[7,10],[8,2],[9,5],[10,8],[11,11],[12,0]],""down"":12,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11]],""up"":13,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12]]}"
